simulation_num,region_value,pkeep,region_weights[region_value],value_clr,value_plr,value_paoi,value_aoi,value_pdr
1005.000000,25.000000,0.000000,0.169623,0.005425,0.001786,0.101117,0.057916,0.987326
1005.000000,75.000000,0.000000,0.164755,0.029276,0.007782,0.104533,0.068214,0.957680
1005.000000,125.000000,0.000000,0.148090,0.074682,0.047718,0.115254,0.096138,0.872228
1005.000000,175.000000,0.000000,0.133322,0.120084,0.131542,0.133189,0.147198,0.743152
1005.000000,225.000000,0.000000,0.113687,0.143958,0.282044,0.158652,0.216977,0.569115
1005.000000,275.000000,0.000000,0.094629,0.143594,0.429434,0.183362,0.285225,0.423126
1005.000000,325.000000,0.000000,0.066084,0.119611,0.588717,0.206179,0.348035,0.288787
1005.000000,375.000000,0.000000,0.043891,0.089778,0.730966,0.232135,0.417939,0.177366
1005.000000,425.000000,0.000000,0.030526,0.074509,0.793138,0.251257,0.458358,0.130819
1005.000000,475.000000,0.000000,0.016748,0.046976,0.878314,0.267423,0.493651,0.073819
1005.000000,525.000000,0.000000,0.008250,0.025008,0.937759,0.294973,0.536199,0.036799
1005.000000,575.000000,0.000000,0.004950,0.016112,0.961212,0.329825,0.585659,0.022335
1005.000000,625.000000,0.000000,0.003218,0.010198,0.974873,0.369820,0.592098,0.014752
1005.000000,675.000000,0.000000,0.001073,0.004092,0.990347,0.410369,0.662955,0.005542
1005.000000,725.000000,0.000000,0.000578,0.002156,0.994172,0.453687,0.641511,0.003543
1005.000000,775.000000,0.000000,0.000413,0.001358,0.996463,0.614266,0.813776,0.002122
1005.000000,825.000000,0.000000,0.000165,0.000721,0.998251,0.704639,0.986720,0.001024
1005.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
1006.000000,25.000000,0.000000,0.179887,0.004219,0.001286,0.101002,0.058636,0.988984
1006.000000,75.000000,0.000000,0.172863,0.026232,0.008449,0.104169,0.069875,0.960154
1006.000000,125.000000,0.000000,0.148535,0.068994,0.045825,0.114421,0.104227,0.879692
1006.000000,175.000000,0.000000,0.136457,0.113906,0.135625,0.133003,0.161064,0.745378
1006.000000,225.000000,0.000000,0.110245,0.141173,0.278475,0.157797,0.243307,0.575944
1006.000000,275.000000,0.000000,0.087288,0.134010,0.448186,0.180484,0.317259,0.414641
1006.000000,325.000000,0.000000,0.066216,0.117153,0.594669,0.206055,0.403484,0.285110
1006.000000,375.000000,0.000000,0.040175,0.086918,0.734694,0.228746,0.474620,0.176499
1006.000000,425.000000,0.000000,0.028097,0.064414,0.819921,0.247560,0.535889,0.114052
1006.000000,475.000000,0.000000,0.011393,0.032191,0.916624,0.268351,0.576085,0.050533
1006.000000,525.000000,0.000000,0.007881,0.024085,0.940651,0.292037,0.611618,0.034865
1006.000000,575.000000,0.000000,0.005225,0.015218,0.962856,0.326749,0.637472,0.021727
1006.000000,625.000000,0.000000,0.002484,0.006802,0.982869,0.360973,0.669326,0.010166
1006.000000,675.000000,0.000000,0.001799,0.004733,0.989033,0.454932,0.804930,0.006144
