n0_posx	n0_posy	n1_posx	n1_posy
141.416	144.87	141.552	144.649
141.819	144.249	142.128	143.832
142.267	143.659	142.783	143.077
142.758	143.104	143.511	142.392
143.288	142.587	144.303	141.782
143.855	142.111	145.152	141.254
144.456	141.678	146.049	140.814
145.087	141.29	146.986	140.465
145.745	140.95	147.953	140.212
146.426	140.66	148.94	140.056
147.127	140.421	149.938	140
147.844	140.235	150.937	140.044
148.573	140.102	151.926	140.187
149.309	140.024	152.896	140.429
150.049	140	153.837	140.765
150.789	140.031	154.74	141.195
151.525	140.117	155.595	141.712
152.252	140.257	156.395	142.312
152.967	140.45	157.13	142.989
153.665	140.696	157.795	143.736
154.344	140.993	158.381	144.545
154.999	141.339	158.884	145.409
155.626	141.733	159.298	146.319
156.222	142.172	159.619	147.265
156.785	142.654	159.844	148.239
157.31	143.176	159.97	149.231
157.795	143.736	159.997	150.23
158.237	144.33	159.924	151.227
158.634	144.955	159.752	152.212
158.984	145.608	159.483	153.174
159.284	146.284	159.119	154.105
159.534	146.982	158.663	154.995
159.731	147.696	158.121	155.835
159.875	148.422	157.498	156.616
159.964	149.157	156.8	157.332
159.999	149.897	156.034	157.974
159.98	150.637	155.208	158.537
159.905	151.374	154.33	159.014
159.776	152.103	153.408	159.401
159.594	152.821	152.453	159.695
159.359	153.523	151.472	159.891
159.072	154.206	150.478	159.989
158.736	154.866	149.478	159.986
158.352	155.499	148.484	159.884
157.922	156.102	147.504	159.684
157.449	156.672	146.55	159.386
156.935	157.205	145.63	158.995
156.383	157.698	144.754	158.514
155.795	158.15	143.93	157.947
155.176	158.556	143.167	157.302
154.529	158.916	142.473	156.583
153.857	159.226	141.853	155.799
153.163	159.487	141.315	154.956
152.453	159.695	140.863	154.065
151.728	159.85	140.503	153.132
150.995	159.95	140.238	152.168
150.256	159.997	140.07	151.183
149.515	159.988	140.002	150.186
148.777	159.925	140.033	149.187
148.046	159.807	140.164	148.196
147.326	159.636	140.393	147.223
146.62	159.411	140.719	146.278
145.933	159.135	141.137	145.37
145.268	158.809	141.643	144.508
144.629	158.435	142.233	143.701
144.019	158.014	142.901	142.957
143.442	157.55	143.639	142.284
142.902	157.044	144.442	141.687
142.4	156.499	145.299	141.174
141.94	155.919	146.204	140.749
141.524	155.306	147.146	140.416
141.154	154.664	148.118	140.179
140.833	153.997	149.107	140.04
140.563	153.307	150.106	140.001
140.344	152.6	151.104	140.061
140.178	151.878	152.091	140.221
140.066	151.146	153.057	140.479
140.008	150.408	153.992	140.831
140.006	149.667	154.887	141.276
140.058	148.929	155.734	141.807
140.164	148.196	156.523	142.42
140.325	147.473	157.247	143.11
140.538	146.764	157.899	143.867
140.804	146.072	158.472	144.687
141.12	145.402	158.96	145.559
141.484	144.758	159.358	146.476
141.895	144.142	159.663	147.428
142.351	143.558	159.872	148.405
142.849	143.01	159.982	149.399
143.386	142.5	159.992	150.398
143.959	142.031	159.902	151.394
144.565	141.606	159.714	152.375
145.202	141.226	159.428	153.333
145.864	140.895	159.048	154.258
146.549	140.614	158.578	155.14
147.253	140.385	158.022	155.971
147.972	140.208	157.386	156.742
148.703	140.085	156.676	157.445
149.44	140.016	155.899	158.075
150.18	140.002	155.064	158.623
150.92	140.042	154.177	159.086
151.654	140.138	153.25	159.457
152.38	140.287	152.289	159.734
153.092	140.49	151.306	159.914
153.787	140.745	150.31	159.995
154.462	141.051	149.31	159.976
155.112	141.405	148.318	159.857
155.734	141.807	147.342	159.64
156.324	142.254	146.393	159.327
156.88	142.743	145.48	158.92
157.399	143.272	144.612	158.424
157.876	143.838	143.798	157.844
158.311	144.438	143.046	157.186
158.699	145.068	142.363	156.456
159.04	145.726	141.757	155.661
159.332	146.406	141.233	154.81
159.572	147.107	140.796	153.91
159.76	147.823	140.452	152.972
159.895	148.552	140.203	152.004
